iteration,training_steps,episode_reward_mean,episode_reward_min,episode_reward_max,policy_loss,value_loss,total_loss,entropy,kl_divergence,vf_explained_var,time_elapsed
20,12891160,386.82,194.0,500.0,0.03554310277104378,9.912210464477539,9.947830200195312,0.5269768834114075,0.012190989218652248,0.02204829454421997,57.574078
21,13521515,392.26,138.0,500.0,-0.016595173627138138,9.889227867126465,9.87268352508545,0.568591296672821,0.008100215345621109,0.030623793601989746,60.451836
22,14156833,276.64,34.0,500.0,0.03127294406294823,9.711421966552734,9.742753982543945,0.535117506980896,0.009314664639532566,0.07272857427597046,63.303256
23,14786874,306.2,34.0,500.0,0.012026161886751652,9.615571022033691,9.627647399902344,0.5574573874473572,0.007974276319146156,0.02349156141281128,66.140788
24,15416915,373.83,34.0,500.0,0.011715617030858994,9.875903129577637,9.887638092041016,0.5469367504119873,0.0031135911121964455,0.01205456256866455,68.971971
25,16046956,443.23,203.0,500.0,0.038451116532087326,9.854191780090332,9.892650604248047,0.5527805685997009,0.0021241966169327497,0.03860896825790405,71.846578
26,16676840,460.53,203.0,500.0,-0.08591771125793457,9.86851978302002,9.782618522644043,0.5337536931037903,0.010217046365141869,0.019957542419433594,74.70273
27,17306881,459.58,164.0,500.0,-0.026009144261479378,9.79955768585205,9.773551940917969,0.5113836526870728,0.0024752349127084017,0.0019754767417907715,77.59703
28,17936765,476.39,164.0,500.0,-0.019856009632349014,9.884273529052734,9.864423751831055,0.5019558668136597,0.008121419697999954,0.002056419849395752,80.441332
29,18567120,439.48,164.0,500.0,-0.16255246102809906,9.895236015319824,9.732691764831543,0.5045566558837891,0.01045962143689394,0.015343189239501953,83.35584
30,19197004,442.84,190.0,500.0,-0.03356228023767471,9.873583793640137,9.84002685546875,0.48197418451309204,0.007908890955150127,-0.0021094083786010742,86.267586
31,19827045,416.57,151.0,500.0,-0.008709821850061417,9.876502990722656,9.867795944213867,0.49738916754722595,0.0032777669839560986,0.0009924769401550293,89.109765
32,20456929,449.41,151.0,500.0,-0.1178012266755104,9.870868682861328,9.753068923950195,0.4732982814311981,0.002363142790272832,0.015455782413482666,91.984839
33,21086813,458.28,151.0,500.0,-0.02159062959253788,9.946247100830078,9.92465877532959,0.45651090145111084,0.009188201278448105,0.0020955801010131836,94.982899
34,21716854,483.23,151.0,500.0,-0.0007787970826029778,9.878917694091797,9.87813949584961,0.4356136620044708,0.004900854080915451,0.020838499069213867,97.920513
35,22346738,479.96,233.0,500.0,0.009165826253592968,9.816410064697266,9.825575828552246,0.4273146390914917,0.001096354448236525,0.029506266117095947,100.781649
36,22976622,479.96,233.0,500.0,0.03267783671617508,9.851114273071289,9.88379192352295,0.4548422694206238,0.0026601054705679417,-0.014028072357177734,103.650663
37,23606663,481.08,196.0,500.0,0.009818694554269314,9.793156623840332,9.80297565460205,0.44486624002456665,0.00490426504984498,0.018408894538879395,106.585972
38,24236547,478.12,196.0,500.0,-0.0004028900002595037,9.775931358337402,9.775528907775879,0.40889719128608704,0.002595871454104781,0.005394935607910156,109.422262
39,24866588,466.8,196.0,500.0,-0.018023019656538963,9.922490119934082,9.90446662902832,0.42809048295021057,0.0036142340395599604,0.0194472074508667,112.213806
40,25496786,459.29,185.0,500.0,0.046304598450660706,9.833011627197266,9.879317283630371,0.425872266292572,0.007933147251605988,0.0005639791488647461,115.412948
41,26126670,458.28,185.0,500.0,-0.00620438065379858,9.957038879394531,9.950835227966309,0.429460734128952,0.0025477588642388582,-0.01109623908996582,118.2481
